SEAS,YR,TOTAL,ANOM,fecha,oni,fase_enso
DJF,1950,24.72,-1.53,1950-01-01,-1.53,Nina
JFM,1950,25.17,-1.34,1950-02-01,-1.34,Nina
FMA,1950,25.75,-1.16,1950-03-01,-1.16,Nina
MAM,1950,26.12,-1.18,1950-04-01,-1.18,Nina
AMJ,1950,26.32,-1.07,1950-05-01,-1.07,Nina
MJJ,1950,26.31,-0.85,1950-06-01,-0.85,Nina
JJA,1950,26.21,-0.54,1950-07-01,-0.54,Nina
JAS,1950,25.96,-0.42,1950-08-01,-0.42,Neutro
ASO,1950,25.76,-0.39,1950-09-01,-0.39,Neutro
SON,1950,25.63,-0.44,1950-10-01,-0.44,Neutro
OND,1950,25.48,-0.6,1950-11-01,-0.6,Nina
NDJ,1950,25.34,-0.8,1950-12-01,-0.8,Nina
DJF,1951,25.42,-0.82,1951-01-01,-0.82,Nina
JFM,1951,25.96,-0.54,1951-02-01,-0.54,Nina
FMA,1951,26.74,-0.17,1951-03-01,-0.17,Neutro
MAM,1951,27.48,0.18,1951-04-01,0.18,Neutro
AMJ,1951,27.75,0.36,1951-05-01,0.36,Neutro
MJJ,1951,27.75,0.58,1951-06-01,0.58,Nino
JJA,1951,27.44,0.7,1951-07-01,0.7,Nino
JAS,1951,27.28,0.89,1951-08-01,0.89,Nino
ASO,1951,27.14,0.99,1951-09-01,0.99,Nino
SON,1951,27.22,1.15,1951-10-01,1.15,Nino
OND,1951,27.12,1.04,1951-11-01,1.04,Nino
NDJ,1951,26.95,0.81,1951-12-01,0.81,Nino
DJF,1952,26.78,0.53,1952-01-01,0.53,Nino
JFM,1952,26.87,0.37,1952-02-01,0.37,Neutro
FMA,1952,27.25,0.34,1952-03-01,0.34,Neutro
MAM,1952,27.6,0.29,1952-04-01,0.29,Neutro
AMJ,1952,27.59,0.2,1952-05-01,0.2,Neutro
MJJ,1952,27.17,0.0,1952-06-01,0.0,Neutro
JJA,1952,26.67,-0.08,1952-07-01,-0.08,Neutro
JAS,1952,26.39,0.0,1952-08-01,0.0,Neutro
ASO,1952,26.3,0.15,1952-09-01,0.15,Neutro
SON,1952,26.17,0.1,1952-10-01,0.1,Neutro
OND,1952,26.13,0.04,1952-11-01,0.04,Neutro
NDJ,1952,26.29,0.15,1952-12-01,0.15,Neutro
DJF,1953,26.65,0.4,1953-01-01,0.4,Neutro
JFM,1953,27.1,0.6,1953-02-01,0.6,Nino
FMA,1953,27.53,0.63,1953-03-01,0.63,Nino
MAM,1953,27.96,0.66,1953-04-01,0.66,Nino
AMJ,1953,28.14,0.75,1953-05-01,0.75,Nino
MJJ,1953,27.94,0.77,1953-06-01,0.77,Nino
JJA,1953,27.49,0.75,1953-07-01,0.75,Nino
JAS,1953,27.12,0.73,1953-08-01,0.73,Nino
ASO,1953,26.93,0.78,1953-09-01,0.78,Nino
SON,1953,26.91,0.84,1953-10-01,0.84,Nino
OND,1953,26.92,0.84,1953-11-01,0.84,Nino
NDJ,1953,26.95,0.81,1953-12-01,0.81,Nino
DJF,1954,27.0,0.76,1954-01-01,0.76,Nino
JFM,1954,26.97,0.47,1954-02-01,0.47,Neutro
FMA,1954,26.86,-0.05,1954-03-01,-0.05,Neutro
MAM,1954,26.89,-0.41,1954-04-01,-0.41,Neutro
AMJ,1954,26.85,-0.54,1954-05-01,-0.54,Nina
MJJ,1954,26.67,-0.5,1954-06-01,-0.5,Nina
JJA,1954,26.1,-0.64,1954-07-01,-0.64,Nina
JAS,1954,25.54,-0.84,1954-08-01,-0.84,Nina
ASO,1954,25.25,-0.9,1954-09-01,-0.9,Nina
SON,1954,25.3,-0.77,1954-10-01,-0.77,Nina
OND,1954,25.35,-0.73,1954-11-01,-0.73,Nina
NDJ,1954,25.48,-0.66,1954-12-01,-0.66,Nina
DJF,1955,25.57,-0.68,1955-01-01,-0.68,Nina
JFM,1955,25.89,-0.62,1955-02-01,-0.62,Nina
FMA,1955,26.22,-0.69,1955-03-01,-0.69,Nina
MAM,1955,26.5,-0.8,1955-04-01,-0.8,Nina
AMJ,1955,26.6,-0.79,1955-05-01,-0.79,Nina
MJJ,1955,26.45,-0.72,1955-06-01,-0.72,Nina
JJA,1955,26.06,-0.68,1955-07-01,-0.68,Nina
JAS,1955,25.64,-0.75,1955-08-01,-0.75,Nina
ASO,1955,25.06,-1.09,1955-09-01,-1.09,Nina
SON,1955,24.65,-1.42,1955-10-01,-1.42,Nina
OND,1955,24.41,-1.67,1955-11-01,-1.67,Nina
NDJ,1955,24.72,-1.47,1955-12-01,-1.47,Nina
DJF,1956,25.23,-1.11,1956-01-01,-1.11,Nina
JFM,1956,25.86,-0.76,1956-02-01,-0.76,Nina
FMA,1956,26.37,-0.63,1956-03-01,-0.63,Nina
MAM,1956,26.82,-0.54,1956-04-01,-0.54,Nina
AMJ,1956,26.93,-0.52,1956-05-01,-0.52,Nina
MJJ,1956,26.72,-0.51,1956-06-01,-0.51,Nina
JJA,1956,26.23,-0.57,1956-07-01,-0.57,Nina
JAS,1956,25.87,-0.55,1956-08-01,-0.55,Nina
ASO,1956,25.71,-0.46,1956-09-01,-0.46,Neutro
SON,1956,25.67,-0.42,1956-10-01,-0.42,Neutro
OND,1956,25.67,-0.43,1956-11-01,-0.43,Neutro
NDJ,1956,25.77,-0.43,1956-12-01,-0.43,Neutro
DJF,1957,26.09,-0.25,1957-01-01,-0.25,Neutro
JFM,1957,26.68,0.06,1957-02-01,0.06,Neutro
FMA,1957,27.41,0.41,1957-03-01,0.41,Neutro
MAM,1957,28.08,0.72,1957-04-01,0.72,Nino
AMJ,1957,28.37,0.92,1957-05-01,0.92,Nino
MJJ,1957,28.34,1.11,1957-06-01,1.11,Nino
JJA,1957,28.06,1.25,1957-07-01,1.25,Nino
JAS,1957,27.75,1.32,1957-08-01,1.32,Nino
ASO,1957,27.5,1.33,1957-09-01,1.33,Nino
SON,1957,27.48,1.39,1957-10-01,1.39,Nino
OND,1957,27.64,1.53,1957-11-01,1.53,Nino
NDJ,1957,27.94,1.74,1957-12-01,1.74,Nino
DJF,1958,28.15,1.81,1958-01-01,1.81,Nino
JFM,1958,28.27,1.66,1958-02-01,1.66,Nino
FMA,1958,28.26,1.27,1958-03-01,1.27,Nino
MAM,1958,28.28,0.93,1958-04-01,0.93,Nino
AMJ,1958,28.19,0.74,1958-05-01,0.74,Nino
MJJ,1958,27.87,0.64,1958-06-01,0.64,Nino
JJA,1958,27.38,0.57,1958-07-01,0.57,Nino
JAS,1958,26.85,0.43,1958-08-01,0.43,Neutro
ASO,1958,26.56,0.39,1958-09-01,0.39,Neutro
SON,1958,26.53,0.44,1958-10-01,0.44,Neutro
OND,1958,26.6,0.5,1958-11-01,0.5,Nino
NDJ,1958,26.81,0.61,1958-12-01,0.61,Nino
DJF,1959,26.95,0.61,1959-01-01,0.61,Nino
JFM,1959,27.24,0.62,1959-02-01,0.62,Nino
FMA,1959,27.51,0.52,1959-03-01,0.52,Nino
MAM,1959,27.68,0.33,1959-04-01,0.33,Neutro
AMJ,1959,27.65,0.2,1959-05-01,0.2,Neutro
MJJ,1959,27.16,-0.07,1959-06-01,-0.07,Neutro
JJA,1959,26.63,-0.18,1959-07-01,-0.18,Neutro
JAS,1959,26.15,-0.28,1959-08-01,-0.28,Neutro
ASO,1959,26.08,-0.09,1959-09-01,-0.09,Neutro
SON,1959,26.07,-0.03,1959-10-01,-0.03,Neutro
OND,1959,26.15,0.05,1959-11-01,0.05,Neutro
NDJ,1959,26.16,-0.04,1959-12-01,-0.04,Neutro
DJF,1960,26.24,-0.1,1960-01-01,-0.1,Neutro
JFM,1960,26.51,-0.1,1960-02-01,-0.1,Neutro
FMA,1960,26.92,-0.07,1960-03-01,-0.07,Neutro
MAM,1960,27.39,0.03,1960-04-01,0.03,Neutro
AMJ,1960,27.47,0.02,1960-05-01,0.02,Neutro
MJJ,1960,27.26,0.03,1960-06-01,0.03,Neutro
JJA,1960,26.93,0.13,1960-07-01,0.13,Neutro
JAS,1960,26.66,0.24,1960-08-01,0.24,Neutro
ASO,1960,26.44,0.27,1960-09-01,0.27,Neutro
SON,1960,26.3,0.2,1960-10-01,0.2,Neutro
OND,1960,26.23,0.12,1960-11-01,0.12,Neutro
NDJ,1960,26.23,0.05,1960-12-01,0.05,Neutro
DJF,1961,26.34,0.04,1961-01-01,0.04,Neutro
JFM,1961,26.58,0.03,1961-02-01,0.03,Neutro
FMA,1961,26.96,0.04,1961-03-01,0.04,Neutro
MAM,1961,27.35,0.09,1961-04-01,0.09,Neutro
AMJ,1961,27.59,0.23,1961-05-01,0.23,Neutro
MJJ,1961,27.42,0.27,1961-06-01,0.27,Neutro
JJA,1961,26.9,0.14,1961-07-01,0.14,Neutro
JAS,1961,26.27,-0.13,1961-08-01,-0.13,Neutro
ASO,1961,25.89,-0.3,1961-09-01,-0.3,Neutro
SON,1961,25.85,-0.26,1961-10-01,-0.26,Neutro
OND,1961,25.91,-0.19,1961-11-01,-0.19,Neutro
NDJ,1961,26.0,-0.16,1961-12-01,-0.16,Neutro
DJF,1962,26.05,-0.24,1962-01-01,-0.24,Neutro
JFM,1962,26.32,-0.22,1962-02-01,-0.22,Neutro
FMA,1962,26.71,-0.2,1962-03-01,-0.2,Neutro
MAM,1962,27.0,-0.26,1962-04-01,-0.26,Neutro
AMJ,1962,27.09,-0.28,1962-05-01,-0.28,Neutro
MJJ,1962,26.96,-0.2,1962-06-01,-0.2,Neutro
JJA,1962,26.72,-0.04,1962-07-01,-0.04,Neutro
JAS,1962,26.34,-0.07,1962-08-01,-0.07,Neutro
ASO,1962,26.07,-0.11,1962-09-01,-0.11,Neutro
