codigo_dane,municipio,departamento,lat,lon,altitud_msnm
41001,Neiva,Huila,2.9389,-75.2819,459.0
05001,Medellin,Antioquia,6.2442,-75.5812,1481.0
52001,Pasto,Narino,1.2136,-77.2811,2549.0
17001,Manizales,Caldas,5.0703,-75.5138,2107.0
63001,Armenia,Quindio,4.534,-75.6811,1480.0
66001,Pereira,Risaralda,4.8133,-75.6961,1411.0
73001,Ibague,Tolima,4.4389,-75.2322,1225.0
76001,Cali,Valle,3.4516,-76.532,1016.0
19001,Popayan,Cauca,2.4448,-76.6147,1729.0
18001,Florencia,Caqueta,1.6144,-75.6062,264.0
54001,Cucuta,N. Santander,7.8939,-72.5078,310.0
68001,Bucaramanga,Santander,7.1193,-73.1227,968.0
15001,Tunja,Boyaca,5.5446,-73.3573,2694.0
25001,Agua de Dios,Cundinamarca,4.3766,-74.6712,382.0
23001,Monteria,Cordoba,8.7575,-75.8814,20.0
44001,Riohacha,Guajira,11.5444,-72.9072,7.0
47001,Santa Marta,Magdalena,11.2408,-74.199,13.0
17873,Villamaria,Caldas,5.0438,-75.5067,1867.0
63594,Salento,Quindio,4.6371,-75.5705,1990.0
17653,Salamina,Caldas,5.4072,-75.4868,1781.0
17442,Marsella,Risaralda,4.9352,-75.7398,1544.0
