split,clase,dataset_origen,clase_original,ruta
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (351).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (702).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (643).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3171).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1048).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (602).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (505).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (179).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (872).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (626).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (775).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (26).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (757).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (959).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (356).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1642_jpg.rf.67f4f47480a80b30ff1d41f93206994f_box4.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3474).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (384).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (635).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2657).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3417).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (63).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1776).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (131).jpg
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1361_jpg.rf.50504d90ae41d6344f4776f8cafe76d0_box1.jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3830).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2449).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2099).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (210).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (347).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (712).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1465).jpg
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1812).jpg
