ruta_relativa,dataset,clase_original,parte_planta,formato
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\359_jpg.rf.aea1e9ab386d394894aaef37ec38445e.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\36_jpg.rf.53c62bdb63a3a8a96989b3c49df230ee.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\372_jpg.rf.9aee498e86f816726c1f93ec871bb43f.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\38_jpg.rf.a481a7de5b5744da790138145c8023fb.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\392_jpg.rf.6d282da31a86781559c75afecaf76e06.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\40_jpg.rf.7ce926c7b7a83ac62c85c45c7d1dd935.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\41_jpg.rf.7b63a95945244c3c7c93adc043facd09.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\420_jpg.rf.2036d96eaca4c6909f266da71dfdf09b.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\423_jpg.rf.453cd9223b2ceaed7b93b1da5009ef16.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\427_jpg.rf.6ab89456aa4a8c1358ddea7d971d19b4.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\428_jpg.rf.c03bad69724e5b1d061c8d3f2ea79a3f.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\42_jpg.rf.45a6931ab1fb805a22f4ee1f5f322b69.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\430_jpg.rf.70fd0c6b2f40aed93c706138f8b0a7e8.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\437_jpg.rf.ba8f398a48ecb701d73def80518beceb.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\43_jpg.rf.bd691dc608f7f81c43b1fd3b706d30a2.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\442_jpg.rf.0ba9789560fd4f1f537e5cb78be86e05.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\443_jpg.rf.cd5984acc307d8db7e3b68c83d99a9ca.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\44_jpg.rf.972564223bad9331dec05f22ae0d5d14.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\45_jpg.rf.1357e6a8f7d7a44302745b5c1edc3894.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\461_jpg.rf.d78f66ffcedcb66b664b06cdfe523452.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
bracol\BRACOL-ORIGINAL-ANNOTATIONS\BRACOL-ORIGINAL-DETECT\test\images\463_jpg.rf.74e96bb1789d0f80ea7e5f4fbf9fbcd6.jpg,bracol,BRACOL-ORIGINAL-ANNOTATIONS,hoja,jpg
