Fecha,Year,Mes,Temporada,Semestre_EVA,ONI,Fase_ENSO
2018-01-01,2018,1,DJF,S1,-0.8,La Niña
2018-02-01,2018,2,JFM,S1,-0.7,La Niña
2018-03-01,2018,3,FMA,S1,-0.6,La Niña
2018-04-01,2018,4,MAM,S1,-0.4,Neutro
2018-05-01,2018,5,AMJ,S1,-0.1,Neutro
2018-06-01,2018,6,MJJ,S1,0.1,Neutro
2018-07-01,2018,7,JJA,S2,0.1,Neutro
2018-08-01,2018,8,JAS,S2,0.3,Neutro
2018-09-01,2018,9,ASO,S2,0.5,El Niño
2018-10-01,2018,10,SON,S2,0.8,El Niño
2018-11-01,2018,11,OND,S2,1.0,El Niño
2018-12-01,2018,12,NDJ,S2,0.9,El Niño
2019-01-01,2019,1,DJF,S1,0.9,El Niño
2019-02-01,2019,2,JFM,S1,0.9,El Niño
2019-03-01,2019,3,FMA,S1,0.8,El Niño
2019-04-01,2019,4,MAM,S1,0.8,El Niño
2019-05-01,2019,5,AMJ,S1,0.6,El Niño
2019-06-01,2019,6,MJJ,S1,0.5,El Niño
2019-07-01,2019,7,JJA,S2,0.3,Neutro
2019-08-01,2019,8,JAS,S2,0.2,Neutro
2019-09-01,2019,9,ASO,S2,0.2,Neutro
2019-10-01,2019,10,SON,S2,0.4,Neutro
2019-11-01,2019,11,OND,S2,0.6,El Niño
2019-12-01,2019,12,NDJ,S2,0.7,El Niño
2020-01-01,2020,1,DJF,S1,0.6,El Niño
2020-02-01,2020,2,JFM,S1,0.6,El Niño
2020-03-01,2020,3,FMA,S1,0.5,El Niño
2020-04-01,2020,4,MAM,S1,0.3,Neutro
2020-05-01,2020,5,AMJ,S1,0.0,Neutro
2020-06-01,2020,6,MJJ,S1,-0.2,Neutro
2020-07-01,2020,7,JJA,S2,-0.4,Neutro
2020-08-01,2020,8,JAS,S2,-0.5,La Niña
2020-09-01,2020,9,ASO,S2,-0.8,La Niña
2020-10-01,2020,10,SON,S2,-1.1,La Niña
2020-11-01,2020,11,OND,S2,-1.2,La Niña
2020-12-01,2020,12,NDJ,S2,-1.1,La Niña
2021-01-01,2021,1,DJF,S1,-0.9,La Niña
2021-02-01,2021,2,JFM,S1,-0.8,La Niña
2021-03-01,2021,3,FMA,S1,-0.7,La Niña
2021-04-01,2021,4,MAM,S1,-0.5,La Niña
2021-05-01,2021,5,AMJ,S1,-0.4,Neutro
2021-06-01,2021,6,MJJ,S1,-0.3,Neutro
2021-07-01,2021,7,JJA,S2,-0.3,Neutro
2021-08-01,2021,8,JAS,S2,-0.4,Neutro
2021-09-01,2021,9,ASO,S2,-0.6,La Niña
2021-10-01,2021,10,SON,S2,-0.8,La Niña
2021-11-01,2021,11,OND,S2,-0.9,La Niña
2021-12-01,2021,12,NDJ,S2,-0.9,La Niña
2022-01-01,2022,1,DJF,S1,-0.8,La Niña
2022-02-01,2022,2,JFM,S1,-0.8,La Niña
2022-03-01,2022,3,FMA,S1,-0.9,La Niña
2022-04-01,2022,4,MAM,S1,-1.0,La Niña
2022-05-01,2022,5,AMJ,S1,-0.9,La Niña
2022-06-01,2022,6,MJJ,S1,-0.8,La Niña
2022-07-01,2022,7,JJA,S2,-0.8,La Niña
2022-08-01,2022,8,JAS,S2,-0.9,La Niña
2022-09-01,2022,9,ASO,S2,-1.0,La Niña
2022-10-01,2022,10,SON,S2,-0.9,La Niña
2022-11-01,2022,11,OND,S2,-0.8,La Niña
2022-12-01,2022,12,NDJ,S2,-0.7,La Niña
2023-01-01,2023,1,DJF,S1,-0.5,La Niña
2023-02-01,2023,2,JFM,S1,-0.3,Neutro
2023-03-01,2023,3,FMA,S1,0.0,Neutro
2023-04-01,2023,4,MAM,S1,0.3,Neutro
2023-05-01,2023,5,AMJ,S1,0.6,El Niño
2023-06-01,2023,6,MJJ,S1,0.8,El Niño
2023-07-01,2023,7,JJA,S2,1.1,El Niño
2023-08-01,2023,8,JAS,S2,1.4,El Niño
2023-09-01,2023,9,ASO,S2,1.6,El Niño
2023-10-01,2023,10,SON,S2,1.8,El Niño
2023-11-01,2023,11,OND,S2,2.0,El Niño
2023-12-01,2023,12,NDJ,S2,2.1,El Niño
2024-01-01,2024,1,DJF,S1,1.9,El Niño
2024-02-01,2024,2,JFM,S1,1.6,El Niño
2024-03-01,2024,3,FMA,S1,1.3,El Niño
2024-04-01,2024,4,MAM,S1,0.8,El Niño
2024-05-01,2024,5,AMJ,S1,0.5,El Niño
2024-06-01,2024,6,MJJ,S1,0.2,Neutro
2024-07-01,2024,7,JJA,S2,0.1,Neutro
2024-08-01,2024,8,JAS,S2,-0.1,Neutro
2024-09-01,2024,9,ASO,S2,-0.2,Neutro
2024-10-01,2024,10,SON,S2,-0.2,Neutro
2024-11-01,2024,11,OND,S2,-0.3,Neutro
2024-12-01,2024,12,NDJ,S2,-0.4,Neutro
2025-01-01,2025,1,DJF,S1,-0.4,Neutro
2025-02-01,2025,2,JFM,S1,-0.2,Neutro
2025-03-01,2025,3,FMA,S1,-0.1,Neutro
2025-04-01,2025,4,MAM,S1,0.0,Neutro
2025-05-01,2025,5,AMJ,S1,0.0,Neutro
2025-06-01,2025,6,MJJ,S1,0.0,Neutro
2025-07-01,2025,7,JJA,S2,-0.1,Neutro
2025-08-01,2025,8,JAS,S2,-0.3,Neutro
2025-09-01,2025,9,ASO,S2,-0.4,Neutro
2025-10-01,2025,10,SON,S2,-0.5,La Niña
2025-11-01,2025,11,OND,S2,-0.6,La Niña
2025-12-01,2025,12,NDJ,S2,-0.5,La Niña
