fecha,Anio,Mes,precio_interno_cop_125kg,precio_oic_compuesto_cusd_libra,produccion_miles_sacos_60kg,exportaciones_volumen_miles_sacos,ONI,Fase_ENSO,Temp_media_nac,Temp_max_nac,Precip_total_nac,ico_composite,colombian_milds,precio_interno_cop_125kg_lag1,precio_interno_cop_125kg_lag2,precio_interno_cop_125kg_lag3,precio_interno_cop_125kg_lag4,precio_interno_cop_125kg_lag5,precio_interno_cop_125kg_lag6,ONI_lag1,ONI_lag2,ONI_lag3,ONI_lag4,ONI_lag5,ONI_lag6,Temp_media_nac_lag1,Temp_media_nac_lag2,Temp_media_nac_lag3,Temp_media_nac_lag4,Temp_media_nac_lag5,Temp_media_nac_lag6,Precip_total_nac_lag1,Precip_total_nac_lag2,Precip_total_nac_lag3,Precip_total_nac_lag4,Precip_total_nac_lag5,Precip_total_nac_lag6,Es_El_Nino,Es_La_Nina
2018-01-01,2018,1,763903.2258064516,115.60045454545455,1131.0,1053.0,,,,,,115.6,143.77,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2018-02-01,2018,2,745031.25,114.19000000000004,1212.0,1098.0,,,,,,114.19,141.5,763903.2258064516,,,,,,,,,,,,,,,,,,,,,,,,0,0
2018-03-01,2018,3,729854.8387096775,112.9904761904762,1037.0,1035.837,,,,,,112.99,139.45,745031.25,763903.2258064516,,,,,,,,,,,,,,,,,,,,,,,0,0
2018-04-01,2018,4,715325.0,112.56333333333332,874.0,924.926,,,,,,112.56,139.29,729854.8387096775,745031.25,763903.2258064516,,,,,,,,,,,,,,,,,,,,,,0,0
2018-05-01,2018,5,754209.6774193548,113.33782608695653,1188.0,950.765,,,,,,113.34,140.26,715325.0,729854.8387096775,745031.25,763903.2258064516,,,,,,,,,,,,,,,,,,,,,0,0
2018-06-01,2018,6,746400.0,110.43571428571433,1087.0,915.101,,,,,,110.44,138.55,754209.6774193548,715325.0,729854.8387096775,745031.25,763903.2258064516,,,,,,,,,,,,,,,,,,,,0,0
2018-07-01,2018,7,717838.7096774194,107.20533333333331,1051.0,1075.909,,,,,,107.2,133.92,746400.0,754209.6774193548,715325.0,729854.8387096775,745031.25,763903.2258064516,,,,,,,,,,,,,,,,,,,0,0
2018-08-01,2018,8,705064.5161290322,102.7237931034483,1258.0,1024.859,,,,,,102.41,129.99,717838.7096774194,746400.0,754209.6774193548,715325.0,729854.8387096775,745031.25,,,,,,,,,,,,,,,,,,,0,0
2018-09-01,2018,9,686933.3333333334,98.17299999999996,1050.0,1098.406,,,,,,98.17,125.74,705064.5161290322,717838.7096774194,746400.0,754209.6774193548,715325.0,729854.8387096775,,,,,,,,,,,,,,,,,,,0,0
2018-10-01,2018,10,796774.1935483871,111.00590909090909,1086.0,1057.659,,,,,,111.21,140.83,686933.3333333334,705064.5161290322,717838.7096774194,746400.0,754209.6774193548,715325.0,,,,,,,,,,,,,,,,,,,0,0
2018-11-01,2018,11,804283.3333333334,109.59000000000002,1300.0,1233.452,,,,,,109.59,139.27,796774.1935483871,686933.3333333334,705064.5161290322,717838.7096774194,746400.0,754209.6774193548,,,,,,,,,,,,,,,,,,,0,0
2018-12-01,2018,12,727645.1612903225,100.61149999999998,1283.0,1282.996,,,,,,100.61,127.86,804283.3333333334,796774.1935483871,686933.3333333334,705064.5161290322,717838.7096774194,746400.0,,,,,,,,,,,,,,,,,,,0,0
2019-01-01,2019,1,727274.1935483871,101.55636363636364,1296.0,1166.335,0.9,El Niño,18.978457943925232,25.56746430040053,9409.433,101.56,129.28,727645.1612903225,804283.3333333334,796774.1935483871,686933.3333333334,705064.5161290322,717838.7096774194,,,,,,,,,,,,,,,,,,,1,0
2019-02-01,2019,2,708089.2857142857,100.67000000000004,1106.0,1245.588,0.9,El Niño,19.153060756591515,25.714458761559037,14312.522,100.67,127.93,727274.1935483871,727645.1612903225,804283.3333333334,796774.1935483871,686933.3333333334,705064.5161290322,0.9,,,,,,18.978457943925232,,,,,,9409.433,,,,,,1,0
2019-03-01,2019,3,690580.6451612903,97.49904761904762,914.0,1140.585,0.8,El Niño,18.699991421218186,25.056286105233056,26924.249,97.5,125.23,708089.2857142857,727274.1935483871,727645.1612903225,804283.3333333334,796774.1935483871,686933.3333333334,0.9,0.9,,,,,19.153060756591515,18.978457943925232,,,,,14312.522,9409.433,,,,,1,0
2019-04-01,2019,4,680566.6666666666,94.42299999999996,1031.0,872.342,0.8,El Niño,18.576863047501543,24.8864823719926,33173.891,94.42,124.42,690580.6451612903,708089.2857142857,727274.1935483871,727645.1612903225,804283.3333333334,796774.1935483871,0.8,0.9,0.9,,,,18.699991421218186,19.153060756591515,18.978457943925232,,,,26924.249,14312.522,9409.433,,,,1,0
2019-05-01,2019,5,724064.5161290322,93.32608695652172,1115.0,1028.036,0.6,El Niño,18.579122324159023,24.81021512232416,36214.967,93.33,124.4,680566.6666666666,690580.6451612903,708089.2857142857,727274.1935483871,727645.1612903225,804283.3333333334,0.8,0.8,0.9,0.9,,,18.576863047501543,18.699991421218186,19.153060756591515,18.978457943925232,,,33173.891,26924.249,14312.522,9409.433,,,1,0
2019-06-01,2019,6,779916.6666666666,99.9695,1211.0,1110.195,0.5,El Niño,18.780596688534832,25.105103808184943,20252.789,99.97,133.49,724064.5161290322,680566.6666666666,690580.6451612903,708089.2857142857,727274.1935483871,727645.1612903225,0.6,0.8,0.8,0.9,0.9,,18.579122324159023,18.576863047501543,18.699991421218186,19.153060756591515,18.978457943925232,,36214.967,33173.891,26924.249,14312.522,9409.433,,1,0
2019-07-01,2019,7,796483.8709677419,103.00826086956522,1317.0,1121.937,0.3,Neutro,18.595171124532644,25.21426884785735,19298.843,103.01,137.63,779916.6666666666,724064.5161290322,680566.6666666666,690580.6451612903,708089.2857142857,727274.1935483871,0.5,0.6,0.8,0.8,0.9,0.9,18.780596688534832,18.579122324159023,18.576863047501543,18.699991421218186,19.153060756591515,18.978457943925232,20252.789,36214.967,33173.891,26924.249,14312.522,9409.433,0,0
2019-08-01,2019,8,798935.4838709678,96.06681818181818,1119.0,1214.031,0.2,Neutro,18.41153058676654,25.102807801747815,11577.591,96.07,129.2,796483.8709677419,779916.6666666666,724064.5161290322,680566.6666666666,690580.6451612903,708089.2857142857,0.3,0.5,0.6,0.8,0.8,0.9,18.595171124532644,18.780596688534832,18.579122324159023,18.576863047501543,18.699991421218186,19.153060756591515,19298.843,20252.789,36214.967,33173.891,26924.249,14312.522,0,0
2019-09-01,2019,9,815450.0,97.73952380952382,1088.0,1008.672,0.2,Neutro,18.602323879231474,25.467539914913083,28784.831,97.74,131.9,798935.4838709678,796483.8709677419,779916.6666666666,724064.5161290322,680566.6666666666,690580.6451612903,0.2,0.3,0.5,0.6,0.8,0.8,18.41153058676654,18.595171124532644,18.780596688534832,18.579122324159023,18.576863047501543,18.699991421218186,11577.591,19298.843,20252.789,36214.967,33173.891,26924.249,0,0
2019-10-01,2019,10,819580.6451612903,97.34521739130436,1369.0,1211.405,0.4,Neutro,17.570814774579034,23.967326440793048,32713.976,97.35,132.09,815450.0,798935.4838709678,796483.8709677419,779916.6666666666,724064.5161290322,680566.6666666666,0.2,0.2,0.3,0.5,0.6,0.8,18.602323879231474,18.41153058676654,18.595171124532644,18.780596688534832,18.579122324159023,18.576863047501543,28784.831,11577.591,19298.843,20252.789,36214.967,33173.891,0,0
2019-11-01,2019,11,909600.0,107.23333333333332,1506.0,1162.209,0.6,El Niño,17.928248272195642,24.105087376927166,36940.174,107.23,146.12,819580.6451612903,815450.0,798935.4838709678,796483.8709677419,779916.6666666666,724064.5161290322,0.4,0.2,0.2,0.3,0.5,0.6,17.570814774579034,18.602323879231474,18.41153058676654,18.595171124532644,18.780596688534832,18.579122324159023,32713.976,28784.831,11577.591,19298.843,20252.789,36214.967,1,0
2019-12-01,2019,12,999129.0322580644,117.37428571428572,1680.0,1386.297,0.7,El Niño,18.391491484184915,24.532852473479316,29794.043,117.37,161.5,909600.0,819580.6451612903,815450.0,798935.4838709678,796483.8709677419,779916.6666666666,0.6,0.4,0.2,0.2,0.3,0.5,17.928248272195642,17.570814774579034,18.602323879231474,18.41153058676654,18.595171124532644,18.780596688534832,36940.174,32713.976,28784.831,11577.591,19298.843,20252.789,1,0
2020-01-01,2020,1,886161.2903225806,106.88545454545456,1050.0,1064.879,0.6,El Niño,18.702080436941408,25.34234115168818,11634.306,106.89,147.52,999129.0322580644,909600.0,819580.6451612903,815450.0,798935.4838709678,796483.8709677419,0.7,0.6,0.4,0.2,0.2,0.3,18.391491484184915,17.928248272195642,17.570814774579034,18.602323879231474,18.41153058676654,18.595171124532644,29794.043,36940.174,32713.976,28784.831,11577.591,19298.843,1,0
2020-02-01,2020,2,909103.448275862,101.997,1001.0,1078.06,0.6,El Niño,19.11077905158937,25.878114697759248,15744.805,102.0,146.43,886161.2903225806,999129.0322580644,909600.0,819580.6451612903,815450.0,798935.4838709678,0.6,0.7,0.6,0.4,0.2,0.2,18.702080436941408,18.391491484184915,17.928248272195642,17.570814774579034,18.602323879231474,18.41153058676654,11634.306,29794.043,36940.174,32713.976,28784.831,11577.591,1,0
