Anio,Semestre,Departamento,Area_sembrada,Area_cosechada,Produccion_ton,Rendimiento,N_municipios,Temp_media_sem,Temp_max_sem,Temp_min_sem,Amplitud_termica,Precip_total_sem,Precip_media_dia,Dias_lluvia,Precip_max_dia,ONI_media,ONI_max,ONI_min,ONI_std,Fase_ENSO_dom,es_El_Nino,es_La_Nina,Precio_interno_cop,Precio_oic_usd,Produccion_sacos,Export_vol_sacos,Export_valor_musd,ICO_composite,ICO_colombian_milds,Temp_media_sem_lag1,Temp_media_sem_lag2,Temp_media_sem_lag3,Amplitud_termica_lag1,Amplitud_termica_lag2,Amplitud_termica_lag3,Precip_total_sem_lag1,Precip_total_sem_lag2,Precip_total_sem_lag3,Precip_media_dia_lag1,Precip_media_dia_lag2,Precip_media_dia_lag3,Dias_lluvia_lag1,Dias_lluvia_lag2,Dias_lluvia_lag3,ONI_media_lag1,ONI_media_lag2,ONI_media_lag3,Precio_interno_cop_lag1,Precio_interno_cop_lag2,ICO_composite_lag1,ICO_composite_lag2,Estres_hidrico,Precio_cop_cambio,ENSO_intensidad
2019,2,ANTIOQUIA,119154.96,95284.56,124817.49,1.3003191489361703,94,20.145531421341207,26.93375073175875,15.701779042598059,11.23197168916069,43832.186,5.026626834862386,3118.0,199.9,0.39999999999999997,0.7,0.2,0.20976176963403026,Neutro,0,0,856529.8387096775,103.12790654997177,8079.0,7104.5509999999995,1346.06580042,103.12833333333333,139.74,,,,,,,,,,,,,,,,,,,,,,,2072.8817416128973,,0.39999999999999997
2020,2,ANTIOQUIA,117531.3,97577.3,107077.57,1.1208510638297873,94,19.3607785467128,26.28458021914648,15.53059188581315,10.75398833333333,22026.73,4.586035810951489,1598.0,199.9,-0.8500000000000001,-0.4,-1.2,0.3391164991562635,La Niña,0,1,1072085.6630824374,110.81377893845286,7741.0,6789.116,1438.086714300001,110.83,162.48166666666665,20.145531421341207,,,11.23197168916069,,,43832.186,,,5.026626834862386,,,3118.0,,,0.39999999999999997,,,856529.8387096775,,103.12833333333333,,1081.8215987893136,0.25166178063041533,0.8500000000000001
2021,2,ANTIOQUIA,116290.93,94308.23,108148.15,1.1419148936170214,94,19.413778939507093,26.02806780806572,13.786867079910381,12.24120072815534,22344.136,4.493993563958165,1540.0,192.2,-0.65,-0.3,-0.9,0.2588435821108957,La Niña,0,1,1813460.1523915462,177.03401104962472,6861.0,6694.546,1777.9755760799999,177.03333333333333,252.24,19.3607785467128,20.145531421341207,,10.75398833333333,11.23197168916069,,22026.73,43832.186,,4.586035810951489,5.026626834862386,,1598.0,3118.0,,-0.8500000000000001,0.39999999999999997,,1072085.6630824374,856529.8387096775,110.83,103.12833333333333,1094.5614756686257,0.6915254208115469,0.65
2022,2,ANTIOQUIA,114332.04000000001,93791.78,94608.26,1.0479787234042555,94,18.995612963832787,24.27532213245655,14.555086134335369,9.720235998121183,11092.596,3.4707747183979976,901.0,105.1,-0.85,-0.7,-1.0,0.10488088481701514,La Niña,0,1,2194198.9982078853,180.53962279521804,5655.599220188862,5540.512,1710.135522140001,180.49166666666667,264.185,19.413778939507093,19.3607785467128,20.145531421341207,12.24120072815534,10.75398833333333,11.23197168916069,22344.136,22026.73,43832.186,4.493993563958165,4.586035810951489,5.026626834862386,1540.0,1598.0,3118.0,-0.65,-0.8500000000000001,0.39999999999999997,1813460.1523915462,1072085.6630824374,177.03333333333333,110.83,554.7514857415881,0.20995159188594803,0.85
2023,2,ANTIOQUIA,108760.73,90625.28,95239.75,1.0725806451612903,93,20.387985948477752,26.74323606557377,12.706636299765808,14.036599765807964,3510.0,4.119718309859155,266.0,85.4,1.6666666666666667,2.1,1.1,0.3777124126457412,El Niño,1,0,1362934.884686689,159.2891087629881,6327.565109901505,5588.687,1499.721330479999,159.29,192.6016666666667,18.995612963832787,19.413778939507093,19.3607785467128,9.720235998121183,12.24120072815534,10.75398833333333,11092.596,22344.136,22026.73,3.4707747183979976,4.493993563958165,4.586035810951489,901.0,1540.0,1598.0,-0.85,-0.65,-0.8500000000000001,2194198.9982078853,1813460.1523915462,180.49166666666667,177.03333333333333,164.1108241072983,-0.37884627337818144,1.6666666666666667
2024,2,ANTIOQUIA,110443.31999999999,88405.25,137933.71,1.3351041666666665,96,20.252022618529796,26.64088734232275,13.113484123531972,13.527403218790777,39480.73,9.63885009765625,1662.0,194.8,-0.18333333333333335,0.1,-0.4,0.17224014243685085,Neutro,0,0,2222445.1612903224,259.1961844002555,8177.912242085772,6584.232,2048.13785945,259.2083333333333,287.52666666666664,20.387985948477752,18.995612963832787,19.413778939507093,14.036599765807964,9.720235998121183,12.24120072815534,3510.0,11092.596,22344.136,4.119718309859155,3.4707747183979976,4.493993563958165,266.0,901.0,1540.0,1.6666666666666667,-0.85,-0.65,1362934.884686689,2194198.9982078853,159.29,180.49166666666667,1857.739882394839,0.6306319445343256,0.18333333333333335
2019,2,ARAUCA,396.0,141.0,99.0,0.7,1,,,,,,,,,0.39999999999999997,0.7,0.2,0.20976176963403026,Neutro,0,0,856529.8387096775,103.12790654997177,8079.0,7104.5509999999995,1346.06580042,103.12833333333333,139.74,,,,,,,,,,,,,,,,,,,,,,,,,0.39999999999999997
2020,2,ARAUCA,109.0,109.0,15.26,0.14,1,,,,,,,,,-0.8500000000000001,-0.4,-1.2,0.3391164991562635,La Niña,0,1,1072085.6630824374,110.81377893845286,7741.0,6789.116,1438.086714300001,110.83,162.48166666666665,,,,,,,,,,,,,,,,0.39999999999999997,,,856529.8387096775,,103.12833333333333,,,0.25166178063041533,0.8500000000000001
2021,2,ARAUCA,109.41,99.6,64.74,0.65,1,,,,,,,,,-0.65,-0.3,-0.9,0.2588435821108957,La Niña,0,1,1813460.1523915462,177.03401104962472,6861.0,6694.546,1777.9755760799999,177.03333333333333,252.24,,,,,,,,,,,,,,,,-0.8500000000000001,0.39999999999999997,,1072085.6630824374,856529.8387096775,110.83,103.12833333333333,,0.6915254208115469,0.65
2022,2,ARAUCA,110.47,99.6,48.88,0.49,1,,,,,,,,,-0.85,-0.7,-1.0,0.10488088481701514,La Niña,0,1,2194198.9982078853,180.53962279521804,5655.599220188862,5540.512,1710.135522140001,180.49166666666667,264.185,,,,,,,,,,,,,,,,-0.65,-0.8500000000000001,0.39999999999999997,1813460.1523915462,1072085.6630824374,177.03333333333333,110.83,,0.20995159188594803,0.85
