Cod_Dpto,Departamento,Cod_Mpio,Municipio,Grupo_cultivo,Subgrupo,Cultivo,Desagregacion,Anio,Periodo,Area_sembrada,Area_cosechada,Produccion,Rendimiento,Ciclo,Estado_fisico,Cod_cultivo,Nombre_cientifico
5,Antioquia,5001,Medellín,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,465.0,417.0,517.0,1.24,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5001,Medellín,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,450.0,394.0,452.0,1.15,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5001,Medellín,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,437.58,378.22,276.1,0.73,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5001,Medellín,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,420.87,387.08,241.18,0.62,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5001,Medellín,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,368.73,335.26,238.66,0.71,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5001,Medellín,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,355.71,317.88,279.34,0.88,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5002,Abejorral,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,2978.0,2326.0,3093.58,1.33,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5002,Abejorral,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,3003.0,2506.0,3089.0,1.23,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5002,Abejorral,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,3025.74,2474.81,3736.96,1.51,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5002,Abejorral,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,3049.73,2579.18,3079.99,1.19,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5002,Abejorral,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,3049.41,2521.38,4993.24,1.98,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5004,Abriaquí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,113.0,93.0,122.0,1.31,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5004,Abriaquí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,113.0,96.0,118.0,1.23,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5004,Abriaquí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,117.44,102.4,111.62,1.09,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5004,Abriaquí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,120.21,108.57,140.44,1.29,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5004,Abriaquí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,115.97,102.33,178.09,1.74,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5004,Abriaquí,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,109.22,94.2,202.88,2.15,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5021,Alejandría,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,663.0,545.0,684.0,1.26,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5021,Alejandría,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,631.0,524.0,607.84,1.16,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5021,Alejandría,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,555.08,458.23,623.19,1.36,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5021,Alejandría,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,532.16,445.03,466.31,1.05,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5021,Alejandría,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,528.28,457.14,568.42,1.24,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5021,Alejandría,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,521.43,436.27,669.57,1.53,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5030,Amagá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,609.0,505.7,910.26,1.8,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5030,Amagá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,607.0,547.0,133.0,0.24,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5030,Amagá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,551.22,475.21,646.29,1.36,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5030,Amagá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2022,2022,506.33,445.81,554.98,1.24,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5030,Amagá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2023,2023,481.69,424.5,622.2,1.47,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5030,Amagá,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2024,2024,469.77,381.48,694.09,1.82,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5031,Amalfi,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2019,2019,1801.0,1481.0,1936.0,1.31,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5031,Amalfi,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2020,2020,1783.0,1509.0,1823.0,1.21,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
5,Antioquia,5031,Amalfi,Cultivos tropicales tradicionales,Cultivos tropicales tradicionales,Café,Café,2021,2021,1761.72,1489.11,1355.09,0.91,Permanente,Pergamino o seco de trilla,2030300,Coffea arabica
