split,clase,dataset_origen,clase_original,ruta,es_pequena
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (351).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (702).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (643).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3171).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1048).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (602).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (505).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (179).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (872).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (626).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (775).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (26).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (757).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (959).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (356).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1642_jpg.rf.67f4f47480a80b30ff1d41f93206994f_box4.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3474).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (384).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (635).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2657).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3417).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (63).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1776).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (131).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1361_jpg.rf.50504d90ae41d6344f4776f8cafe76d0_box1.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3830).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2449).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2099).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (210).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (347).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (712).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1465).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (231).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (359).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1550_jpg.rf.e594c55e4af87d58fe901e9719c502b1_box3.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (910).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (795).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1567).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3464).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (27).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (517).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (80).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (137).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (552).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2794).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (297).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (345).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1835).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1021).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (514).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (926).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2502).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1287).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (273).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1143).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (865).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (385).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (681).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (181).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (163).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (506).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1802).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (451).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (268).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3202).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2775).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3102).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (742).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2094).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (12).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (902).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (921).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (308).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3337).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (564).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (278).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3607).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (409).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (821).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (209).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1431).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3002).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (693).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1090).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (831).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (809).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2589).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (915).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2050).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (292).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (135).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (400).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (873).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2246).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (724).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (1057).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3671).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (689).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1997).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1718_jpg.rf.4d1a8c2d9fca8671dfbbe80ffb078681_box1.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (512).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (469).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1765).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (79).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (933).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2378).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1569).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (473).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2535).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (187).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (192).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (349).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1508).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2373).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (437).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1918).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (680).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1692_jpg.rf.91e6adda5cd88e7a38caf0cecd5f1917_box2.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (694).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (683).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (85).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (318).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2929).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_1700_jpg.rf.6ec8417af6c14d56e030655b3fb17d0b_box1.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (884).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (194).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (625).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2636).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (800).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (323).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (446).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (766).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (110).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1660).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3611).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (116).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (268).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (192).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1025).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (789).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (909).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3698).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (234).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1192).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3261).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (979).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1737).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (1258).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (216).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (487).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2958).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3810).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_6 (314).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (579).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (414).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3278).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (762).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_4 (275).jpg,False
train,Cercospora,bracol_crops,Cercospora,train\Cercospora\bracol_crops_930_jpg.rf.cd1ee540b3074596450eb7731a30642c_box1.jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (573).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2051).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (3461).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_9 (2475).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_7 (711).jpg,False
train,Cercospora,jmuben,JMuBEN,train\Cercospora\jmuben_8 (697).jpg,False
