fecha,precio_arabica_brasil_usd_kg,precio_robusta_usd_kg,precio_arabica_wb_usd_kg,precio_robusta_wb_usd_kg,trm_cop_usd,precio_fnc_cop_kg,surge_flag,precio_arabica_brasil_cop_kg
1990-01-01,,,1.6761,1.0907,,,0,
1990-02-01,,,1.8508,1.1036,,,0,
1990-03-01,,,2.0885,1.2292,,,0,
1990-04-01,,,2.088,1.2335,,,0,
1990-05-01,,,2.0496,1.1821,,,0,
1990-06-01,,,1.9654,1.1171,,,0,
1990-07-01,,,1.9103,1.1039,,,0,
1990-08-01,,,2.0818,1.1856,,,0,
1990-09-01,,,2.103,1.228,,,0,
1990-10-01,,,2.019,1.2392,,,0,
1990-11-01,,,1.8678,1.2231,,,0,
1990-12-01,,,1.9661,1.2447,,,0,
1991-01-01,,,1.8945,1.1647,,,0,
1991-02-01,,,1.9667,1.1435,,,0,
1991-03-01,,,2.0628,1.1324,,,0,
1991-04-01,,,2.0273,1.1229,,,0,
1991-05-01,,,1.9375,1.0375,,,0,
1991-06-01,,,1.891,1.0005,,,0,
1991-07-01,,,1.8351,1.0005,,,0,
1991-08-01,,,1.8027,0.99,,,0,
1991-09-01,,,1.9193,1.0287,,,0,
1991-10-01,,,1.7586,1.0115,,,0,
1991-11-01,,,1.724,1.1112,,,0,
1991-12-01,,,1.6612,1.1197,,,0,
1992-01-01,1.6100772981405798,1.0762174737729864,1.6184,1.0765,,,0,
1992-02-01,1.5277606306989542,0.9610509003686133,1.5091,0.9385,,,0,
1992-03-01,1.540892175427176,0.9371758200000321,1.5514,0.9389,,,0,
1992-04-01,1.4665662694067076,0.9240482836798468,1.4533,0.9118,,,0,
1992-05-01,1.340338159991064,0.8410117252424878,1.3417,0.8307,,,0,
1992-06-01,1.3106091337188888,0.8199098428864388,1.3027,0.8195,,,0,
1992-07-01,1.2863791785301022,0.861960221674027,1.2831,0.864,,,0,
1992-08-01,1.1762511138602427,0.8598665131408212,1.1669,0.8565,,,0,
1992-09-01,1.1391995850496,0.9018016190761742,1.1735,0.9034,,,0,
1992-10-01,1.120610592779414,0.9012504629711283,1.3574,0.9742,,,0,
1992-11-01,1.1577112723076497,0.9865799262437651,1.4839,1.0509,,,0,
1992-12-01,1.6565356186789586,1.0996858314348001,1.7016,1.1202,,,1,
1993-01-01,1.5833402621529398,1.0506505111789157,1.5298,1.034,,,0,
1993-02-01,1.486721547117233,1.0314996737155857,1.4914,1.0361,,,0,
1993-03-01,1.4259798309455654,1.021421664518276,1.4026,1.0119,,,0,
1993-04-01,1.2878213340302618,0.9835931850649924,1.2758,0.9894,,,0,
1993-05-01,1.3593504210622678,1.011912110652829,1.3708,1.0179,,,0,
1993-06-01,1.3931121921342209,1.0294393519847231,1.3779,1.0267,,,0,
1993-07-01,1.553799249305343,1.0792939269411517,1.5831,1.0891,,,0,
1993-08-01,1.6796432196174695,1.2736115275401683,1.6958,1.2888,,,0,
1993-09-01,1.7884314137334474,1.3864381927531189,1.7807,1.3779,,,0,
1993-10-01,1.6896976431095199,1.3011273399463668,1.6896,1.299,,,0,
1993-11-01,1.74691432749335,1.3584995887373355,1.7328,1.355,,,0,
1993-12-01,1.8199749708031043,1.3761073924315819,1.7921,1.3627,,,0,
1994-01-01,1.7544926046398734,1.3209269668819221,1.7405,1.3093,,,0,
1994-02-01,1.834247517592903,1.3372700576729748,1.8503,1.3404,,,0,
1994-03-01,1.918349146561131,1.4294401327528974,1.9181,1.4265,,,0,
1994-04-01,2.004832956657504,1.5755400909900992,1.9967,1.5833,,,0,
1994-05-01,2.5830782649685973,2.0156480232936613,2.687,2.0933,,,1,
1994-06-01,2.94011718981736,2.3370020955957225,3.1621,2.4776,,,0,
1994-07-01,4.440334044692146,3.3287939066700605,4.8256,3.6155,,,1,
1994-08-01,4.390279485030408,3.523325309778486,4.4189,3.585,,,0,
1994-09-01,4.821082703077975,3.976631381986856,4.8943,4.0297,,,0,
1994-10-01,4.570490871175187,3.852329217194558,4.45,3.7352,,,0,
1994-11-01,4.147259291088988,3.50767770475349,4.0325,3.3803,,,0,
1994-12-01,3.5773338154112064,2.8118481326430316,3.7157,2.8601,,,0,
1995-01-01,3.7718518364120577,2.8435847032735873,3.8056,2.8999,,,0,
1995-02-01,3.692194747702781,2.9488835781936187,3.7431,2.9694,,,0,
1995-03-01,3.9509265940584797,3.2166620529309222,3.9558,3.2194,,,0,
1995-04-01,3.8192252067937704,3.191888304908376,3.8449,3.1918,,,0,
1995-05-01,3.819415954732733,3.149603129263074,3.7701,3.1063,,,0,
1995-06-01,3.496604477552113,2.8785179793134072,3.4059,2.84,,,0,
1995-07-01,3.093014574037168,2.558676603853767,3.2112,2.6403,,,0,
