c_d_dep,departamento,c_d_mun,municipio,grupo_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,anio,periodo,area_sembrada_ha,area_cosechada_ha,produccion_ton,rendimiento_ton_ha,estado_fisico,nombre_cientifico,ciclo_cultivo,fuente_socrata,codigo_dane
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,1078,1027,822,0.8,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2008,2008,1078,1027,822,0.8,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,1078,1027,800,0.78,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,1078,1078,862,0.8,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,1081,1058,846,0.8,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,1087,1077,862,0.8,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,625,534,267,0.5,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,515,451,244,0.54,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,511,435,461,1.06,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,503,420,460,1.1,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2017,2017,484,449,303,0.67,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5001,MEDELLIN,OTROS PERMANENTES,CAFE,CAFE,CAFE,2018,2018,471,433,299,0.69,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05001
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,4067,3819,2329,0.61,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2008,2008,4180,3956,2223,0.56,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,4181,3957,2224,0.56,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,4052,3665,2529,0.69,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,3959,3290,1500,0.46,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,3701,3000,2398,0.8,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,3713,3050,1717,0.56,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,3652,3182,1938,0.61,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,3556,3102,3337,1.08,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,3523,3012,3352,1.11,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2017,2017,3388,2752,5018,1.82,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5002,ABEJORRAL,OTROS PERMANENTES,CAFE,CAFE,CAFE,2018,2018,3149,2529,4718,1.87,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05002
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,135,135,81,0.6,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2008,2008,137,132,90,0.68,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,133,128,86,0.67,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,146,130,87,0.67,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,148,115,96,0.84,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,154,137,117,0.86,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,137,111,63,0.56,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,125,111,67,0.61,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,120,100,110,1.1,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2016,2016,123,100,114,1.14,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2017,2017,118,100,182,1.82,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5004,ABRIAQUI,OTROS PERMANENTES,CAFE,CAFE,CAFE,2018,2018,119,104,193,1.87,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05004
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2007,2007,739,733,733,1.0,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2008,2008,753,706,706,1.0,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2009,2009,750,717,358,0.5,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2010,2010,750,582,872,1.5,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2011,2011,709,640,768,1.2,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2012,2012,721,446,536,1.2,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2013,2013,799,654,491,0.75,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2014,2014,738,627,509,0.81,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
5,ANTIOQUIA,5021,ALEJANDRIA,OTROS PERMANENTES,CAFE,CAFE,CAFE,2015,2015,765,689,680,0.99,CAFE VERDE EQUIVALENTE,COFFEA ARABICA,PERMANENTE,2pnw-mmge,05021
