iter	Passed	Remaining
0	18	5399
1	32	4858
2	43	4302
3	55	4085
4	67	4008
5	79	3882
6	87	3681
7	100	3674
8	125	4062
9	148	4298
10	167	4392
11	187	4507
12	198	4389
13	217	4438
14	247	4703
15	259	4603
16	275	4584
17	300	4712
18	350	5181
19	368	5161
20	387	5149
21	417	5279
22	436	5259
23	452	5207
24	463	5102
25	474	4997
26	482	4875
27	495	4817
28	532	4976
29	551	4966
30	560	4863
31	576	4825
32	595	4814
33	603	4725
34	616	4668
35	627	4603
36	640	4555
37	684	4719
38	710	4752
39	731	4756
40	763	4821
41	777	4777
42	782	4679
43	794	4622
44	811	4596
45	852	4709
46	861	4638
47	888	4666
48	901	4615
49	911	4558
50	925	4517
51	937	4471
52	948	4418
53	972	4431
54	986	4394
55	1001	4365
56	1014	4324
57	1027	4286
58	1038	4241
59	1054	4216
60	1069	4191
61	1081	4153
62	1091	4105
63	1098	4051
64	1114	4029
65	1128	4002
66	1138	3959
67	1148	3919
68	1166	3904
69	1180	3877
70	1192	3845
71	1199	3798
72	1211	3768
73	1223	3735
74	1239	3717
75	1256	3702
76	1285	3723
77	1306	3719
78	1319	3691
79	1330	3657
80	1339	3620
81	1352	3595
82	1361	3560
83	1372	3528
84	1384	3501
85	1395	3471
86	1402	3433
87	1416	3412
88	1431	3394
89	1448	3380
90	1465	3366
91	1487	3362
92	1503	3346
93	1518	3327
94	1528	3298
95	1538	3269
96	1544	3231
97	1558	3213
98	1576	3201
99	1592	3185
100	1607	3168
101	1621	3147
102	1629	3116
103	1640	3091
104	1646	3057
105	1657	3032
106	1670	3013
107	1680	2986
108	1686	2954
109	1695	2928
110	1698	2892
111	1710	2871
112	1713	2835
113	1726	2816
114	1729	2782
115	1743	2765
116	1750	2737
117	1760	2715
118	1767	2687
119	1775	2662
120	1779	2632
121	1789	2611
122	1793	2580
123	1804	2561
124	1808	2531
125	1820	2514
126	1823	2483
127	1836	2468
128	1840	2439
129	1853	2424
130	1871	2414
131	1886	2400
132	1889	2372
133	1898	2352
134	1902	2324
135	1913	2307
136	1916	2280
137	1930	2266
138	1941	2248
139	1947	2225
140	1959	2209
141	1964	2185
142	1975	2169
143	1979	2144
144	1990	2128
145	1995	2104
146	2005	2087
147	2010	2065
148	2021	2048
149	2027	2027
150	2041	2014
151	2046	1993
152	2053	1972
153	2056	1949
154	2067	1933
155	2070	1910
156	2083	1897
157	2086	1875
158	2099	1861
159	2102	1839
160	2116	1826
161	2119	1805
162	2132	1792
163	2141	1775
164	2149	1758
165	2159	1743
166	2166	1725
167	2180	1712
168	2185	1693
169	2195	1678
170	2198	1658
171	2213	1647
172	2226	1634
173	2229	1614
174	2243	1602
175	2250	1585
176	2260	1570
177	2274	1558
178	2283	1543
179	2291	1527
180	2295	1509
181	2306	1495
182	2313	1478
183	2321	1463
184	2324	1444
185	2337	1432
186	2350	1420
187	2355	1403
188	2367	1390
189	2371	1373
190	2382	1359
191	2386	1342
192	2395	1327
193	2401	1312
194	2408	1297
195	2416	1282
196	2419	1265
197	2432	1252
198	2435	1235
199	2449	1224
200	2456	1209
201	2466	1196
202	2477	1183
203	2481	1167
204	2490	1153
205	2496	1139
206	2499	1122
207	2511	1110
208	2514	1095
209	2527	1083
210	2530	1067
211	2543	1055
212	2547	1040
213	2559	1028
214	2563	1013
215	2573	1000
216	2577	985
217	2588	973
218	2592	958
219	2604	946
220	2607	932
221	2615	919
222	2623	905
223	2632	893
224	2639	879
225	2652	868
226	2660	855
227	2668	842
228	2671	828
229	2684	816
230	2687	802
231	2701	791
232	2710	779
233	2718	766
234	2729	754
235	2733	741
236	2741	728
237	2749	716
238	2759	704
239	2765	691
240	2774	679
241	2780	666
242	2788	654
243	2794	641
244	2797	628
245	2810	616
246	2813	603
247	2826	592
248	2829	579
249	2841	568
250	2844	555
251	2858	544
252	2867	532
253	2874	520
254	2881	508
255	2889	496
256	2892	483
257	2904	472
258	2907	460
259	2919	449
260	2922	436
261	2936	425
262	2939	413
263	2951	402
264	2954	390
265	2969	379
266	2984	368
267	2991	357
268	3000	345
269	3009	334
270	3017	322
271	3032	312
272	3042	300
273	3049	289
274	3063	278
275	3073	267
276	3080	255
277	3089	244
278	3096	233
279	3107	221
280	3122	211
281	3133	200
282	3142	188
283	3156	177
284	3165	166
285	3173	155
286	3182	144
287	3189	132
288	3201	121
289	3205	110
290	3219	99
291	3226	88
292	3235	77
293	3243	66
294	3252	55
295	3267	44
296	3277	33
297	3315	22
298	3331	11
299	3344	0
